,Driver,LapNumber,IsPersonalBest,Compound,TyreLife,Team,Position,Location,Year,LastTeamRanking,second_compound,status,RaceProgress,TyreStressLevel,TrackTemp,close_ahead,close_behind,is_pitting_ahead,is_pitting_behind,RealPitting,ModelPitting
66449,LEC,42.0,False,HARD,26.0,Ferrari,14.0,Barcelona,2023,4.0,True,1,0.6363636363636364,1,29.9,True,False,False,False,0,0
66450,LEC,43.0,True,HARD,27.0,Ferrari,14.0,Barcelona,2023,4.0,True,1,0.6515151515151515,1,29.8,True,False,False,False,0,0
66451,LEC,44.0,False,HARD,28.0,Ferrari,13.0,Barcelona,2023,4.0,True,1,0.6666666666666666,1,29.6,True,False,False,False,0,0
66452,LEC,45.0,False,HARD,29.0,Ferrari,13.0,Barcelona,2023,4.0,True,1,0.6818181818181818,1,29.8,True,False,False,False,0,0
66453,LEC,46.0,False,HARD,30.0,Ferrari,13.0,Barcelona,2023,4.0,True,1,0.696969696969697,1,29.1,True,False,False,False,0,0
66454,LEC,47.0,False,HARD,31.0,Ferrari,13.0,Barcelona,2023,4.0,True,1,0.7121212121212122,1,29.3,True,False,False,False,0,0
66455,LEC,48.0,False,HARD,32.0,Ferrari,13.0,Barcelona,2023,4.0,True,1,0.7272727272727273,1,29.7,True,False,False,False,0,0
66456,LEC,49.0,False,HARD,33.0,Ferrari,13.0,Barcelona,2023,4.0,True,1,0.7424242424242424,1,29.5,False,False,False,False,0,0
66457,LEC,50.0,False,HARD,34.0,Ferrari,13.0,Barcelona,2023,4.0,True,1,0.7575757575757576,1,28.7,False,False,False,False,0,0
66458,LEC,51.0,False,HARD,35.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.7727272727272727,1,28.7,True,True,False,False,0,0
66459,LEC,52.0,True,HARD,36.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.7878787878787878,1,28.4,True,True,False,False,0,0
66460,LEC,53.0,False,HARD,37.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.803030303030303,1,28.3,True,True,False,False,0,0
66461,LEC,54.0,False,HARD,38.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.8181818181818182,1,28.4,True,True,False,False,0,0
66462,LEC,55.0,False,HARD,39.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.8333333333333334,1,28.4,True,True,False,False,0,0
66463,LEC,56.0,False,HARD,40.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.8484848484848485,1,28.1,True,True,False,False,0,0
66464,LEC,57.0,False,HARD,41.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.8636363636363636,1,28.2,True,True,False,False,0,0
66465,LEC,58.0,False,HARD,42.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.8787878787878788,1,28.2,True,True,False,False,0,0
66466,LEC,59.0,False,HARD,43.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.8939393939393939,1,27.9,True,True,False,False,0,0
66467,LEC,60.0,False,HARD,44.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.9090909090909092,1,27.7,False,True,False,False,0,0
66468,LEC,61.0,False,HARD,45.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.9242424242424242,1,27.3,False,True,False,False,0,0
66469,LEC,62.0,False,HARD,46.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.9393939393939394,1,27.2,False,True,False,False,0,0
66470,LEC,63.0,False,HARD,47.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.9545454545454546,1,26.8,False,True,False,False,0,0
66471,LEC,64.0,False,HARD,48.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.9696969696969696,1,27.1,False,True,False,False,0,0
66472,LEC,65.0,False,HARD,49.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,0.9848484848484848,1,27.5,False,True,False,False,0,0
66473,LEC,66.0,False,HARD,50.0,Ferrari,12.0,Barcelona,2023,4.0,True,1,1.0,1,27.5,False,False,False,False,0,0
