lap,RIC,NOR,VET,RAI,GRO,GAS,PER,LEC,STR,MAG,ALB,KVY,HUL,VER,HAM,SAI,RUS,BOT,KUB,GIO
44,69.929,70.389,68.775,69.460,69.667,70.389,70.389,68.466,70.389,71.239,69.460,70.711,70.711,68.546,69.144,70.711,70.711,69.144,71.239,70.389
45,69.915,70.370,68.763,69.456,69.947,70.370,70.370,68.454,70.370,71.238,69.456,70.710,70.710,68.549,69.138,70.710,70.710,69.138,71.238,70.370
46,72.593,70.350,68.752,69.452,70.675,70.350,70.350,68.443,70.350,71.237,69.452,70.709,70.709,68.552,69.132,70.709,70.709,69.132,71.237,70.350
47,84.168,70.331,68.740,69.448,70.708,70.331,70.331,68.431,70.331,71.235,69.448,70.708,70.708,68.554,69.125,70.708,70.708,69.125,71.235,70.331
48,68.838,70.311,68.729,69.444,70.706,70.311,70.311,68.420,70.311,71.234,69.444,70.706,70.706,68.557,69.119,70.706,70.706,69.119,71.234,70.311
49,68.819,70.292,68.717,69.440,70.705,70.292,70.292,68.408,70.292,71.233,69.440,70.705,70.705,68.560,69.113,70.705,70.705,69.113,71.233,70.292
50,68.800,70.273,71.397,69.436,70.704,70.273,70.273,68.397,70.273,71.232,69.436,70.704,70.704,68.562,69.107,70.704,70.704,69.107,71.232,70.273
51,68.780,70.253,82.938,69.432,70.703,70.253,70.253,68.385,70.253,71.230,69.432,70.703,70.703,68.565,69.100,70.703,70.703,69.100,71.230,70.253
52,68.761,70.234,68.052,69.428,70.702,70.234,70.234,68.374,70.234,71.229,69.428,70.702,70.702,68.568,69.094,70.702,70.702,69.094,71.229,70.234
53,69.041,70.214,68.047,69.424,70.700,70.214,70.214,68.362,70.214,71.228,69.424,70.700,70.700,68.570,69.088,70.700,70.700,69.088,71.228,70.214
54,69.196,70.195,68.041,69.420,70.699,70.195,70.195,68.351,70.195,71.227,69.420,70.699,70.699,68.573,69.082,70.699,70.699,69.082,71.227,70.195
55,69.416,70.175,68.035,69.416,70.698,70.175,70.175,68.339,70.175,71.225,69.416,70.698,70.698,68.576,69.075,70.698,70.698,69.075,71.225,70.175
56,69.412,70.156,68.029,69.412,70.697,70.156,70.156,68.327,70.156,71.224,69.412,70.697,70.697,68.578,69.069,70.697,70.697,69.069,71.224,70.156
57,69.408,70.137,68.024,69.408,70.695,70.137,70.137,68.316,70.137,71.223,69.408,70.695,70.695,68.581,69.063,70.695,70.695,69.063,71.223,70.137
58,69.404,70.117,69.148,69.404,70.694,70.117,70.117,68.304,70.117,71.222,69.404,70.694,70.694,68.584,69.057,70.694,70.694,69.057,71.222,70.117
